Mphi g si norm mntot
3.957864265461530806e+01 7.468971045908980866e-01 2.004901097721213610e+00 7.396725390213987339e+00 1.499160213362922822e-01
3.087455780910858749e+01 1.600930108632774680e-04 2.488094280426198068e+00 6.739483687781280707e+00 1.420570054458756559e-01
5.639622493926227165e+00 5.945010218328298374e-02 2.337249981981564417e+00 7.401860736536211682e+00 6.997206582832628252e-02
5.788472760909054715e-01 2.224828071571516991e-02 2.946162749621727084e+00 9.083398699943465715e+00 9.455140775678833043e-02
5.120895321365942721e+00 8.466214247980020924e-02 2.036589381676807253e+00 7.274236843825990562e+00 7.036040360209400157e-02
5.080761894964903602e-01 3.120057667230783510e-02 3.114451782438651506e+00 1.657966326098952692e+01 9.121417374245324727e-02
6.637480449202389821e+01 8.534932810058350541e-03 2.507630686293931710e+00 6.398361317177848839e+00 7.413947817328793433e-02
3.132645427139089112e-01 2.894560490690422511e-02 3.043830604553067865e+00 1.934685518384615577e+01 7.950713907333989416e-02
5.925683638398116848e+00 6.383547293423964819e-02 2.317243588338572469e+00 8.035495340625530503e+00 6.327655187121095093e-02
5.483575607373142091e+00 6.413402650718795506e-02 2.320672676448334748e+00 7.464653107868798543e+00 6.598015555085420814e-02
6.841452066486563011e-01 2.468119012346214197e-02 2.769967504031965788e+00 1.093403679895875591e+01 1.166478527178338442e-01
6.107687487094021206e-02 1.966048264087700767e-02 2.758195142364598063e+00 1.197668061051980715e+01 1.091455513372939501e-01
7.091037360585439764e+00 9.617614249174442909e-02 2.140071036067245025e+00 8.573999121016983693e+00 7.764307334327727461e-02
6.518227584968115940e-01 2.773996421647694985e-02 3.124632043426032180e+00 1.045606002498234055e+01 1.049049193331742375e-01
4.520189975655083958e-02 1.774010135383500414e-02 2.693245369354118957e+00 9.015909815672207728e+00 1.464748708617145678e-01
5.319453802725313096e+00 4.938942069962169029e-02 2.227406500208066298e+00 8.248080475942030532e+00 7.844663622641043221e-02
5.121930109553425314e-01 2.695621634475710640e-02 3.026958567154276469e+00 1.280985602420744840e+01 8.549381099051706068e-02
5.813877656287455231e+00 7.110001366317739158e-02 2.365698466033617997e+00 7.303722893811217531e+00 6.283382301299499095e-02
5.126327196600635044e-02 2.504560315416790028e-02 2.994827324786831113e+00 1.356971223139848703e+01 1.437170182662342310e-01
3.175009392644456696e+01 6.201442499501449435e-01 2.183242251322737637e+00 8.838393106653937181e+00 8.962452285060820700e-02
5.157546219461520837e-02 1.604823673989872260e-02 2.711516263245149716e+00 8.694253545659766047e+00 1.243561252450548493e-01
5.834431002076532202e+00 4.944758621325881509e-02 2.354841677648995546e+00 7.816693040562396000e+00 1.489166226557928630e-01
7.814247198102493019e-01 1.937548786745189877e-02 2.719236812119079527e+00 8.711814124482636146e+00 1.100756549669827389e-01
6.611874879020815499e+00 8.320846934053913180e-02 2.221253123372475269e+00 7.818542071276851857e+00 6.540957887850964991e-02
5.845804766775313244e-01 3.266563903620733206e-02 3.113400442854394434e+00 1.659226179483034258e+01 1.029390738044476949e-01
2.795817792459428830e+01 7.010319307247595555e-01 2.074967406124195612e+00 9.068303209291542544e+00 7.338955577477376813e-02
6.974720802840673750e-01 1.182966103846171992e-02 2.593737877171271577e+00 7.854809606655189569e+00 1.031566301963159626e-01
6.342890339169231950e+00 8.849882923930864342e-02 2.251474342602088452e+00 7.540620155725095586e+00 5.944863067356070951e-02
5.867365597244424080e+00 8.751045307317084632e-02 2.308502726033968777e+00 8.177885496916889707e+00 6.044225653855676145e-02
5.435776878042665849e+00 3.138130539463364344e-02 2.311641899791977650e+00 6.455922796658526863e+00 7.947968446726011438e-02
5.967145109254036406e+00 3.851804427152695498e-02 2.355493939636629452e+00 7.392929598663517510e+00 1.404627450491071627e-01
5.889584310803885892e-01 1.931324477165112519e-02 2.754556887833777612e+00 9.230109186395925036e+00 9.392592223145825037e-02
5.420882547325458489e-01 2.714392090565879989e-02 3.040767439470267064e+00 1.446322128761569736e+01 8.557641841228469382e-02
6.756389379178389110e-01 1.872396255225251133e-02 2.688057508264125595e+00 8.497680977585794437e+00 9.927342986166876049e-02
6.583387106047609016e-01 2.971544737610460826e-02 2.870318349456567386e+00 1.502288626011439376e+01 1.084241020719138582e-01
4.258404133982940820e+00 1.147149585977724545e-03 2.390791732713191120e+00 7.267582839764251901e+00 1.312649896465961086e-01
7.554745261047625782e+00 7.753579402459284675e-02 2.281830180364930794e+00 9.518066127091900697e+00 7.305956705507159199e-02
5.911226945806428823e+00 9.916550774139618052e-02 2.084682518404686657e+00 8.122812115263471355e+00 7.724076225315708311e-02
6.266702911254190766e+00 8.411889838561616151e-02 2.352330624567458450e+00 8.214497920393680985e+00 6.934755256732769158e-02
4.943774980338788011e-02 2.028586237527164188e-02 2.762661054687326700e+00 1.091689280999231393e+01 1.377525472216272751e-01
5.717501543906569061e-01 1.803967562796479629e-02 2.816892028514835999e+00 9.800516872326774376e+00 8.404883470784113575e-02
5.760728145328318561e+00 2.248785910036393831e-02 2.350465756687070584e+00 7.893554535373984216e+00 1.158064760460431053e-01
2.392103304139746101e+01 5.595431802123319587e-01 2.020474667396979118e+00 7.802713424349964733e+00 6.064212250298551404e-02
5.473075558943294006e+00 5.968417144915945383e-02 2.344853951224943778e+00 7.707805809057278523e+00 6.107168250404458598e-02
2.052778214204953322e-01 2.423841198975449154e-02 2.915569723124108670e+00 1.045119513054968863e+01 1.494564471272586403e-01
6.522712203517494700e+00 1.150829774796352789e-01 2.087791953540525380e+00 7.943406727552039470e+00 6.145700913548778760e-02
6.102790526133581750e+00 8.322174409253160765e-02 2.156131718537225073e+00 9.783346883053930299e+00 1.296904047525005987e-01
6.229042782457474559e+00 8.780905085954462952e-02 2.216654889558839603e+00 8.371666467930969802e+00 6.643706651203068470e-02
5.916747696216789087e+00 6.674221865913494700e-02 2.237410821300513941e+00 6.677287254150418683e+00 6.674898253156280603e-02
5.951708883392068827e+00 1.606873425180781537e-02 2.417299879875640212e+00 7.279304839112526793e+00 1.257917738230440730e-01
2.932134954600772758e+01 6.209302638200778768e-01 2.085820002077248159e+00 8.475476833748121663e+00 9.223112565286714637e-02
5.465220522926719227e-01 3.213867727012374026e-02 3.195528281801242265e+00 1.761153638447683889e+01 8.675335742497464198e-02
6.479529456627054484e-01 2.239584368608409093e-02 2.790854819303638656e+00 1.002651497613784670e+01 1.172553720358103235e-01
5.840017896125454300e+00 8.963117536745499048e-02 2.242528609587850497e+00 7.355217381306268010e+00 7.241218512380095951e-02
6.046827918317328354e+00 1.023186247099288348e-01 2.039021449752554282e+00 6.018987927404499061e+00 6.328991390447902265e-02
6.308877512349564398e+00 8.896699914359673667e-02 2.240700203701782023e+00 7.104771138691638122e+00 6.338999237609041493e-02
5.901628900403358413e-01 1.765667770378756551e-02 2.613495057764700924e+00 7.820483537243043237e+00 1.008657627344655139e-01
5.716840658982876633e+00 8.927727712346439359e-02 2.181870148553729294e+00 7.252858442659340099e+00 6.955712326653222533e-02
3.816284337625263506e-02 1.588810844310581394e-02 2.840739858070944646e+00 6.531289622089888169e+00 1.296958880126147240e-01
6.013101774326085724e+00 8.692084600779165227e-02 2.233241178936610005e+00 6.902625016375676381e+00 6.541333656999465118e-02
2.170782278489253037e-01 1.139552826264937473e-02 2.544511720130298471e+00 8.057929136913006829e+00 7.275080696778503386e-02
3.132645427139089112e-01 2.894560490690422511e-02 3.043830604553067865e+00 1.934685518384615577e+01 7.950713907333989416e-02
7.067045024143184584e+00 5.475205026142764692e-02 2.393003254473714314e+00 7.606316215427419536e+00 1.230925923179545384e-01
4.570219166646815045e-01 1.544674927809018376e-02 2.610779147715680981e+00 6.856333400184060345e+00 9.133982691298650480e-02
6.239119510501021093e-01 3.253796620790560395e-02 3.037348091521426596e+00 1.634914216682844312e+01 1.083442329977519769e-01
5.229559033194652429e+00 4.358390472954699196e-02 2.409470134468911784e+00 7.473223313957551461e+00 9.220184170936729373e-02
3.473791383971096991e+01 6.839460744098319056e-01 2.127035941366213212e+00 9.427980288827688682e+00 9.955843924201640549e-02
4.943774980338788011e-02 2.028586237527164188e-02 2.762661054687326700e+00 1.091689280999231393e+01 1.377525472216272751e-01
5.408822449005065813e+00 8.274458554873530269e-02 2.092504458826397240e+00 7.438305540638624258e+00 6.135343805135162754e-02
5.761866579082498774e+00 3.505666163211224647e-03 2.388156920796938643e+00 8.238920327179620529e+00 1.471678326054012831e-01
4.368387244245530709e+00 1.366180361234488674e-02 2.475085598530590403e+00 7.231475917103926676e+00 9.136789357723473781e-02
1.432377688893471113e-01 1.874800811421392654e-02 2.778957142409218761e+00 8.116391051195133599e+00 1.391823202685305294e-01
5.999860862492731872e-01 2.205002636468808216e-02 2.847835920066489557e+00 1.253345509340470976e+01 9.038911017901801737e-02
6.518227584968115940e-01 2.773996421647694985e-02 3.124632043426032180e+00 1.045606002498234055e+01 1.049049193331742375e-01
4.583081949672384248e+00 1.332322487079700508e-03 2.415744531789899341e+00 7.718329897539152995e+00 9.777921478761963936e-02
5.581973706521164758e+00 5.855587669083021224e-02 2.262236454137166231e+00 8.365661137669256675e+00 1.395857781778447326e-01
6.127380686592445169e-01 2.566911720339019876e-02 3.045468750052008122e+00 1.215788949733387980e+01 8.998570229656586983e-02
6.962861767086833131e-01 2.009472074040003636e-02 2.735511164032909726e+00 7.589444151517081849e+00 1.147153180140133566e-01
3.817655249629599568e-01 2.604806937000336831e-02 2.933534637748530738e+00 1.195676752844774349e+01 9.697441036035747697e-02
4.839429368962470335e+00 5.232062834824703634e-02 2.451662570578100997e+00 7.416463182485152572e+00 1.207043014178275780e-01
5.881503538698593658e+00 9.638788110277028308e-04 2.397961752112556244e+00 7.701637881963298682e+00 1.459461383476126639e-01
5.796697218654883521e+00 9.664795197478417976e-02 2.231528787461641627e+00 7.233641996294242205e+00 5.916082403467863571e-02
5.336004060378670921e+00 3.485555230723801773e-02 2.395172005156716466e+00 6.643065653555006556e+00 1.102934322047173094e-01
9.579893604509722715e-01 1.344619784874508724e-03 2.669483405066062520e+00 7.067877451728207916e+00 1.417323650934043666e-01
5.528851684361861807e-01 2.688864561579609389e-02 2.953853883611964104e+00 1.238367611279035962e+01 9.068056283582354160e-02
2.012948346796450139e+01 4.311637540126365131e-01 2.036038093437619434e+00 8.492253072816856374e+00 9.831410687047528740e-02
5.627548204379230201e-01 2.576563449546494244e-02 3.012310094388157111e+00 1.189907631968426038e+01 9.402762787811638767e-02
6.125064892212304990e+00 9.988412595972478991e-02 2.114074756928610466e+00 6.938243356365282999e+00 6.761363396332369102e-02
4.403895307097827616e-01 2.861564190635764587e-02 2.918033418946351265e+00 1.234722233809490177e+01 1.465196047647436828e-01
4.272608009434063270e+00 4.040558046848698182e-03 2.536732117897301020e+00 7.735426515726078200e+00 9.930576573998106671e-02
6.218275294055188418e+00 8.654536777189425489e-02 2.191026794809855627e+00 7.759541036086270438e+00 8.361140258746764531e-02
7.129761465769593798e+00 8.656828116068880641e-02 2.291034948946298666e+00 7.997925452451967843e+00 6.211736614318916216e-02
4.727554102224723609e-02 1.501098952019213825e-02 2.699348757219529382e+00 8.087910389579494819e+00 1.423862367960563868e-01
4.882343554341857406e+00 4.450382581018638706e-02 2.290027504409080095e+00 7.498919297694515151e+00 9.419416811232134146e-02
5.814496623977870593e-01 3.218022810323563354e-02 2.983647017456343420e+00 1.995485148947257770e+01 9.126094520502109342e-02
7.675825914886675871e-01 2.113140893933239742e-02 2.710327203021217546e+00 7.936443884971144058e+00 1.396246518422583904e-01
4.354432062235280654e+01 2.815421524130046552e-02 2.466678747905422409e+00 7.523225831101285621e+00 1.302314187153560399e-01
1.145801364692706770e+00 2.145181798371389092e-04 2.532414235438584349e+00 7.044721005137425607e+00 1.360748588055329111e-01
3.349576713771369035e-02 2.336464616406121533e-02 2.889000998947213628e+00 1.312077133630775272e+01 1.327600118429572151e-01
6.333911774610172962e+00 1.017681609881298799e-01 2.268907150027045905e+00 7.926290706145893594e+00 6.171868465790036201e-02
2.735440205216974618e+01 6.276390730212918490e-01 2.019715344176006955e+00 8.352896761012482685e+00 8.698190691850044010e-02
4.578473117082940291e+01 8.694662477333424677e-01 2.233463213513463774e+00 8.519541004964407804e+00 9.937501977426319022e-02
4.099213614007481965e+01 9.522296339270417409e-01 2.150105343023871463e+00 9.136909861807993138e+00 6.507853173030030136e-02
5.761866579082498774e+00 3.505666163211224647e-03 2.388156920796938643e+00 8.238920327179620529e+00 1.471678326054012831e-01
4.988972118736737515e-01 3.255607933245460023e-02 3.187280796113756143e+00 1.790813931647513257e+01 8.762685595555386175e-02
6.415024339456082636e+00 9.716141191640569053e-02 2.244847959211246025e+00 8.042362134990995060e+00 6.757358280940423123e-02
5.370204648897611399e+00 5.551959603284871425e-02 2.136465721697094811e+00 8.115055525230921774e+00 7.128653712128785180e-02
8.788053473688883788e-01 2.466701108468483507e-04 2.564195770719130074e+00 7.201962520328936357e+00 1.137128481331161622e-01
