weight logl norm alpha beta
4.017319120742165328e-80 -1.907270246518264116e+02 6.985101321296026455e+00 1.257032167044086268e+00 6.721702724428690878e-01
7.382651063070161660e-80 -1.901160066498572405e+02 7.113336740936581748e+00 1.022703605672223182e+00 1.310824813971697367e+00
1.143490700085529707e-79 -1.896759687520116131e+02 9.797984700083686604e+00 1.284160454727673262e+00 1.158754118089807550e+00
2.006447752216799291e-79 -1.891111884824869946e+02 6.045777467598686172e+00 1.150658051604358745e+00 7.458064500620110726e-01
1.389669769032390342e-78 -1.871734031179335602e+02 2.049033609951792512e-01 1.425297330483333624e+00 8.848340957147990404e-02
5.602961781060699446e-78 -1.857766739132112832e+02 2.420341381659648072e-01 1.098993448801478312e+00 1.127717035729293382e+00
6.601569956150190818e-78 -1.856101617677254865e+02 2.690730588089121911e-01 1.139778495347094633e+00 1.454790857076114108e+00
1.124348440862119988e-77 -1.850751804634224982e+02 9.839610244800798711e+00 1.734356534175676368e+00 2.495655678807105482e-01
1.124253091953232081e-76 -1.827701801777253934e+02 2.898442860344618843e+00 1.097176645940738604e+00 1.212229923244737273e-01
4.902106114166502925e-75 -1.789925490496441967e+02 3.240294213821915958e-01 1.363424670474029377e+00 1.458138431454778949e+00
2.068292589275149113e-74 -1.775504054578247235e+02 6.974774976391407755e+00 1.443391220287480348e+00 3.984400868232114701e-01
2.211136271224413998e-74 -1.774811223553633681e+02 4.419883499288240536e+00 1.259457272673975448e+00 2.667650920706040596e-01
5.161080889145059583e-74 -1.766309828564413351e+02 6.338147595189891348e+00 1.151762968734291626e+00 9.719439339286042312e-01
1.202829198201711706e-73 -1.757823673486142866e+02 9.711016364895137087e+00 2.180723246156953898e+00 9.896746272816364653e-02
1.037368536052076639e-72 -1.736252714497954059e+02 4.001759369599959371e+00 1.057463604108235256e+00 6.539307305122294967e-01
1.211522209469351552e-72 -1.734675811093366065e+02 8.285400320856188827e+00 1.262110030025510810e+00 1.156018668533753457e+00
6.152575171233472952e-72 -1.718400879814439293e+02 8.057000990887956959e+00 1.652619837466382746e+00 2.121082755589946411e-01
8.665553039618172229e-72 -1.714951029569820378e+02 1.390080367568532704e+00 3.427933388970445083e+00 1.790428898603084740e-01
1.371301460858569212e-71 -1.710336133493240993e+02 3.076842544618336728e-01 1.111461251460119870e+00 7.859196065544887810e-01
1.399489496333948890e-71 -1.710107660850102889e+02 3.159876828393365922e-01 1.588086157092732931e+00 6.903214392393955956e-01
2.464495530909661442e-71 -1.704423864758809941e+02 7.739158882440327680e+00 1.199066970080237438e+00 1.257796608730507026e+00
6.206482393997363156e-71 -1.695162793163904666e+02 7.853062244331109554e+00 3.278611731761357007e+00 9.974375449859590459e-01
5.052506029882594505e-70 -1.674169041529221147e+02 8.700244214236970919e+00 2.754871653813447452e+00 4.594036289855439881e-01
7.694509657891147970e-70 -1.669937814735732786e+02 6.100889554041621921e+00 1.276451866974589677e+00 7.140299062936684704e-01
5.404006198554944844e-69 -1.650420628565401557e+02 4.232385284485135069e-01 2.274698126471512261e+00 1.467568185735721231e+00
1.156142547071421689e-68 -1.642790292574108264e+02 8.369507710219188823e+00 1.418508026625105334e+00 8.703742999046195639e-01
1.919177246047536702e-68 -1.637697217541581267e+02 9.857370023255835889e+00 2.904822135818033502e+00 7.444547646736550117e-01
2.045259891331002064e-68 -1.637035934630288807e+02 7.581184400545962987e+00 3.249788779501574076e+00 9.466206602731048747e-01
