norm si1 si2 E_break
2.226781332178924711e+00 1.492741517553327624e+00 3.110296984170492607e+00 3.199041285386851814e+04
2.386482368508534346e+00 1.496253704078819968e+00 2.874483864890235107e+00 2.826778880983823547e+04
2.506148469272215795e+00 1.870015756325068335e+00 2.624798973714834283e+00 3.174732136758294655e+04
2.442479070692684218e+00 1.581657359432741439e+00 2.686654270716219539e+00 2.547093838867898376e+04
2.197155624285409115e+00 2.030481374870159339e+00 2.990582493773525030e+00 4.205178021638991777e+04
2.087528482767529336e+00 2.113546184337326661e+00 2.914140402896834736e+00 3.417969142675972398e+04
2.260117145054483689e+00 1.347083852614245458e+00 2.844897003706623018e+00 2.829217541491219527e+04
2.682889792284044006e+00 1.130881435843641203e+00 2.766659600660613449e+00 3.199131432302228859e+04
2.337993228293620884e+00 1.472167859640406418e+00 2.747557144466312273e+00 2.749304921630987883e+04
1.755837449253699445e+00 1.820733370401261375e+00 3.015991249227769622e+00 3.085364660472405376e+04
2.289353152020623838e+00 1.318499476397911874e+00 2.903334552110308220e+00 2.809950184696335054e+04
2.589219564029597631e+00 1.740443483654088297e+00 2.666350897877478143e+00 3.041171428181066949e+04
2.472012616843481947e+00 1.137505326650583681e+00 2.900214007828738616e+00 3.035691594283570157e+04
2.550269453676292208e+00 1.277239367854029028e+00 2.950392546745471911e+00 3.442970993825282494e+04
2.593685322819355932e+00 2.069534533501379059e+00 2.776171026021877708e+00 3.863330468683048821e+04
2.162320099869198042e+00 1.240890985161115623e+00 2.782346764033756692e+00 2.419541909662769831e+04
2.599000539749363181e+00 1.675486495677398491e+00 3.005567353466172875e+00 4.215884982975462481e+04
1.938027523369543204e+00 1.761024580941076279e+00 2.979527789626822631e+00 2.962404369038489313e+04
2.753324015361104937e+00 1.657871513629403548e+00 2.780570318905257743e+00 3.959488010335664148e+04
2.410408565525608005e+00 1.704079960261907445e+00 2.682226223981513336e+00 2.877113047474889026e+04
2.401588801636460158e+00 1.698919349199049744e+00 2.797999673008752186e+00 2.998321634284761967e+04
2.120683030444555861e+00 1.071039662793769942e+00 2.725636990011384597e+00 2.225323576167012288e+04
3.560293197541399390e+00 2.088465140493016570e+00 3.204994468689319476e+00 9.076196831832989119e+04
2.416067927437342888e+00 1.616841098671029986e+00 2.679077128597270097e+00 2.223518751815301584e+04
2.620690811861643432e+00 1.828523546365204977e+00 2.813235955445503311e+00 3.696530873417999828e+04
2.071393684786116740e+00 1.502271949588268152e+00 2.933614732123233093e+00 3.333634596301250713e+04
2.656804442751754536e+00 1.447983878636897703e+00 2.874080278212576278e+00 3.127120606023693108e+04
2.416253462353928239e+00 1.366722982946410481e+00 2.748933707891181299e+00 2.826565855939502944e+04
2.033615725176500355e+00 1.195354758824418218e+00 2.969578934934633985e+00 3.038799721781327389e+04
2.784669680378583756e+00 1.918265183574760169e+00 2.985965758578531748e+00 5.910422227048454806e+04
2.008340373907188336e+00 1.798793873978463909e+00 2.873973954840109535e+00 2.851655177722912049e+04
1.961702788950581366e+00 1.196117750313126837e+00 2.988256927981381317e+00 2.920023764561420830e+04
2.295092710272131242e+00 1.725677776039163058e+00 3.087647968177174462e+00 3.461268814749857847e+04
2.343542350072827851e+00 2.025879642929359292e+00 2.783443500254747072e+00 3.148726978646493080e+04
2.656804442751754536e+00 1.447983878636897703e+00 2.874080278212576278e+00 3.127120606023693108e+04
2.440758530962030548e+00 1.524247540272194890e+00 2.856493766204970086e+00 3.830855375975179049e+04
2.313751727006479353e+00 1.705451930523236737e+00 2.720228072834762312e+00 2.843720569756367331e+04
2.180931303253578424e+00 1.654311190773895657e+00 2.702632568562670201e+00 2.773376305789824255e+04
2.483481491962756138e+00 1.309338023510633997e+00 2.953532432577550271e+00 3.529706096589110530e+04
2.552157246348258912e+00 1.736659525752462629e+00 2.777226279813515220e+00 3.423417735306483519e+04
2.038793615992672947e+00 1.783497399860310306e+00 2.983709084414930768e+00 3.865538682454616355e+04
2.293029326262070455e+00 2.037949120720435214e+00 2.782739790999006591e+00 3.539917831049006054e+04
2.353715697678938845e+00 1.872902646689345252e+00 2.932371109183660618e+00 4.126829692980631080e+04
1.994008995763700609e+00 1.865335466591150126e+00 2.949822394641957946e+00 3.847185858974521398e+04
1.864029754794576332e+00 1.485092088045771197e+00 3.030713878147370366e+00 2.871615037150722856e+04
2.306650916926113126e+00 1.392544838820727993e+00 2.761469445678234713e+00 2.942944275423111685e+04
2.324681274719355262e+00 1.816035814454758590e+00 2.907606535562129224e+00 3.713309739195679867e+04
2.222073065722274254e+00 1.795123870300772140e+00 3.118570102597305826e+00 4.221309345918497274e+04
3.360630156995853657e+00 1.962839521182628610e+00 2.987286131979511428e+00 6.643807506584684597e+04
2.730124675595469341e+00 2.186506529706100377e+00 2.799413071124000396e+00 5.218789520956632623e+04
2.307965737478574031e+00 2.049137442594136438e+00 2.836384535671630402e+00 4.786073584587543155e+04
2.307373993776161925e+00 1.377659733630085759e+00 2.909776624981201820e+00 2.927918448504133994e+04
2.595519944976269144e+00 1.327389087459373895e+00 2.825076249223992253e+00 3.270250283780113750e+04
2.190321961684334351e+00 1.689959960688426133e+00 2.763742776086669295e+00 2.505811601383640300e+04
2.540731649831831973e+00 1.593240034310461795e+00 2.965433045268835777e+00 3.348551988738195359e+04
2.515254561552129342e+00 1.438526738563443264e+00 2.863399088123585123e+00 3.386937138089977816e+04
2.349372701352296922e+00 1.920626723897524757e+00 2.843560129506313316e+00 4.370131436362177919e+04
1.962067999851712319e+00 2.072805297610518238e+00 2.791421511205446571e+00 3.458581698198684899e+04
2.380152471285237770e+00 1.634401663851375863e+00 2.762892729200306263e+00 3.068325011231434110e+04
2.145304877078234362e+00 1.159620569356120567e+00 2.822554758801304686e+00 2.156511489721483667e+04
2.196837344785881552e+00 1.731869816896035141e+00 2.789739344968666934e+00 2.545155547707914957e+04
2.311845331165915063e+00 1.395508133951637975e+00 2.921855576197364801e+00 3.221745116566974684e+04
2.210599568723991215e+00 1.105338589232563562e+00 2.866493417331054339e+00 2.564918091143630227e+04
2.485832582809652802e+00 1.886864390434198180e+00 2.852290436409072871e+00 3.443256340411240672e+04
2.861414258453297332e+00 1.091954005774468994e+00 2.550056497659064725e+00 2.432230092667714416e+04
2.439244668844575692e+00 1.467350841965849639e+00 2.725402334554295258e+00 2.163371481082488390e+04
2.278187874181306860e+00 1.574373631022845998e+00 2.896021893201271347e+00 2.818452535867364350e+04
2.133201112326685411e+00 1.632641819288498608e+00 2.840066486329403617e+00 3.081221188958112907e+04
2.126014380355575106e+00 2.032778295104852084e+00 3.061837966808277578e+00 4.528973638095081697e+04
3.253591714755590836e+00 2.007410548924922544e+00 2.939214948219342816e+00 5.443739431028500258e+04
2.613665981295581364e+00 1.751839891724491949e+00 2.804871360712560602e+00 3.409314143083648378e+04
2.908997889913526702e+00 1.256418260082416971e+00 2.681704965310820477e+00 3.350640769678573997e+04
1.994008995763700609e+00 1.865335466591150126e+00 2.949822394641957946e+00 3.847185858974521398e+04
2.590803815431609536e+00 1.598744673442718867e+00 2.914137914080411118e+00 3.544264171444812382e+04
2.325704210282332873e+00 1.367506432751778522e+00 2.836975218797729958e+00 3.705551778702119191e+04
1.907883338387459604e+00 1.762535401728140938e+00 2.886367844434152730e+00 3.237848254309675031e+04
2.445648051181231075e+00 2.061439650432990156e+00 2.630785960772532128e+00 4.959207925354903273e+04
2.356076564868337275e+00 1.758515183110012758e+00 2.795930088954304171e+00 2.771930377510167818e+04
2.753609762841921160e+00 1.464833391745487212e+00 2.690852670779312561e+00 2.899238464894753997e+04
2.726470199326914035e+00 2.028904629989878305e+00 2.762414642926872332e+00 5.539224930999676872e+04
2.374673950715667115e+00 1.280742093884144950e+00 2.891934608792615435e+00 3.511711717122518166e+04
2.644709109155447990e+00 1.932588307898507329e+00 3.066863866164910135e+00 5.512554047250058647e+04
2.065904985395621729e+00 1.726674123561556140e+00 2.855670999809261978e+00 3.876479487012331811e+04
2.516123204881554276e+00 1.010048034639871917e+00 3.054871834144929466e+00 3.262415384663087752e+04
2.688885976195708682e+00 1.397501393154519267e+00 3.047387952205722783e+00 4.768494718781258416e+04
1.957272994977678593e+00 2.150250412848695891e+00 2.729985133079968485e+00 3.775999810383139265e+04
2.460144411862227987e+00 2.104933302147199647e+00 2.855334682631794685e+00 4.743602440403970832e+04
2.205814624523553480e+00 1.408227607950173654e+00 2.831459257873208291e+00 2.937927829309586014e+04
2.430043518538664848e+00 1.946693590739159152e+00 2.758453998410442587e+00 3.473965049351636844e+04
2.397468589878553047e+00 1.344612753764688584e+00 2.902591979330518157e+00 3.379902303484548611e+04
2.269604208377364429e+00 1.553107966511197535e+00 2.735861032140992855e+00 2.551594944223015045e+04
2.516123204881554276e+00 1.010048034639871917e+00 3.054871834144929466e+00 3.262415384663087752e+04
2.474770143271105116e+00 1.797742810004298919e+00 2.803724898086788819e+00 3.731553230639113463e+04
2.067279702231894056e+00 1.785539947176101983e+00 2.714235463703767337e+00 2.456902382912490793e+04
2.558975214211381743e+00 1.292042192138946888e+00 2.767794934703385668e+00 2.869457200105952143e+04
2.907311839907412487e+00 1.811447231587751894e+00 2.805729849891839933e+00 3.723856373197552603e+04
2.105069287053002114e+00 1.820137716064595734e+00 2.667035534167876865e+00 2.608055987515678498e+04
2.193976512882857222e+00 1.058179596327317951e+00 2.841103373849627189e+00 2.644985795402113945e+04
2.626968528754698440e+00 1.920575052786617443e+00 2.755402264182181593e+00 3.613354876214713295e+04
2.375982984264217279e+00 1.225747661330520266e+00 2.816345416238613453e+00 2.734680560739066641e+04
2.202783825112270666e+00 1.896936952345463112e+00 2.682000696997342004e+00 3.318054204093872249e+04
2.735379025649691709e+00 1.723037591948865188e+00 2.815392025597557968e+00 4.304177242054127419e+04
2.485459303495285432e+00 1.285752357009553926e+00 3.011345360049805464e+00 3.409944704281218583e+04
2.666122493987825859e+00 1.379261212664617986e+00 2.884348680673509691e+00 3.160134532928017143e+04
1.921787108486209261e+00 1.403417943382039956e+00 3.041010466760815767e+00 2.891707837792402643e+04
1.903027916858849089e+00 1.862335181437356768e+00 2.701806614982164234e+00 2.510921091397631972e+04
2.625576993657187774e+00 1.831700188066912371e+00 2.865839835722406193e+00 3.868571877173313987e+04
2.107957240652889475e+00 1.900363097290980630e+00 2.796734897805374764e+00 2.562208018535138763e+04
2.678690698944176773e+00 1.496274492186175253e+00 2.749030767874112602e+00 3.402601219617734750e+04
2.110414733862846060e+00 1.843405683432241648e+00 2.755748467704795424e+00 3.437101267421669036e+04
2.520371197998446000e+00 1.127512029991925679e+00 2.657088161596658615e+00 2.542438762748342197e+04
2.843168042141683394e+00 1.257988669711216811e+00 2.903268868994921093e+00 3.473636042323283618e+04
2.619673136917332279e+00 2.010724317833538333e+00 2.881435938354887760e+00 5.247623285856567236e+04
2.162992987899676312e+00 1.807789919541531898e+00 2.765410828182375269e+00 2.278882893791626702e+04
2.063764843576916697e+00 1.176842738197854121e+00 2.768464961334731633e+00 1.837145584277021044e+04
2.187579882645281248e+00 1.179946735760532661e+00 2.731480619305060031e+00 2.349557977062159989e+04
2.358934536552664607e+00 1.074118908032373643e+00 2.826605670442051910e+00 2.145873833649199514e+04
2.354196331687089749e+00 1.959045794743848212e+00 2.780466037684855785e+00 3.853891282504431001e+04
2.421925815621868594e+00 1.322706223759301247e+00 2.647084270640508219e+00 2.618042707873013205e+04
2.963913166109819919e+00 1.288581894013331119e+00 2.734772004382781230e+00 3.169091599625712115e+04
2.401982820288137699e+00 1.779401738453831650e+00 2.851171101009646325e+00 4.290510968069731462e+04
2.332886375562379655e+00 1.214907266269878328e+00 2.969383187917142841e+00 3.592017353773091600e+04
1.772082371951424928e+00 1.681992886010644783e+00 2.922045317820796573e+00 2.331184432872581237e+04
2.558129519615798930e+00 1.027746047221550274e+00 2.868917234199475086e+00 3.004335819016264577e+04
2.499405847284783100e+00 1.361829741723730169e+00 2.825313226592518490e+00 4.371471877503531141e+04
2.601689259474517790e+00 2.068453843334391529e+00 2.681622868285555406e+00 3.088540363255936973e+04
2.030781288348339153e+00 1.163216804826013639e+00 3.065922944242070347e+00 3.205800738746896241e+04
3.013367057729797516e+00 1.894602549904783384e+00 2.893580009215936055e+00 5.259972942383529880e+04
2.268727057908077160e+00 1.506796959521357948e+00 2.868591029039918361e+00 3.296229075878808362e+04
2.423653852177971135e+00 1.690351878849529754e+00 2.932759208526041661e+00 3.768363670412107604e+04
2.744059860695160946e+00 1.657122630008251551e+00 3.115351403798038987e+00 5.118869345119514037e+04
1.949704524019942209e+00 1.379536820686215748e+00 3.368515552488885234e+00 3.709676335056887183e+04
2.577528875308376044e+00 1.219726515974019376e+00 2.592290976160707139e+00 2.541515422257713362e+04
3.352786898804399840e+00 1.972216847284049113e+00 3.118906365539661163e+00 6.920670274668557977e+04
2.312692564224399838e+00 2.212955110601900088e+00 2.734506503671335409e+00 3.390913124650548707e+04
2.113658267880253572e+00 1.018554483842779579e+00 2.721435925937730094e+00 1.647015354346280947e+04
2.360923569784326048e+00 1.951732342449982616e+00 2.697347316454617339e+00 3.067920300234100796e+04
2.504682974253725991e+00 2.083181969090180274e+00 2.868831071504538421e+00 5.348189923379375250e+04
