Mphi g si norm mntot
6.200508743135130230e-01 3.072392593235254155e-02 2.998455074613572968e+00 1.396684592882481013e+01 1.386115732602685446e-01
5.683380585419479658e+00 2.837900796830385500e-02 2.403536463820405977e+00 8.632908749905176649e+00 1.455936225524830374e-01
5.957453234695724298e-01 2.813973101180870448e-02 3.108860702678370558e+00 1.541621627753362311e+01 1.244712147465555641e-01
6.614184584517711629e-01 2.353464370745424888e-02 2.994157957655274593e+00 1.080582242546953609e+01 1.263580030661310138e-01
4.805766722112728151e-01 1.775036094772936349e-02 2.854818878111323066e+00 8.275465554719890093e+00 1.149751467120158216e-01
5.312313770115989486e-01 8.123478142341102395e-03 2.613432562634577128e+00 6.773582493986909370e+00 1.140967913692388785e-01
5.327992957733455048e-01 3.176827746266168429e-02 3.146237570951466722e+00 1.957426235133110026e+01 1.174563211256704764e-01
7.658374722041365601e-01 2.685315797137629093e-02 2.952200846006002521e+00 1.270054809338005875e+01 1.462315183638702165e-01
6.943939087106363317e-01 6.906735918702456775e-03 2.608122122839628076e+00 6.780460258343429025e+00 1.344661767735495506e-01
5.600412485369643534e-01 2.347246648614715117e-02 2.900349703349506925e+00 1.130537762541841929e+01 1.193508165950128153e-01
9.968787966367876896e-01 7.395948740776876100e-04 2.646623197756780677e+00 6.766994329480567671e+00 1.440322553349739354e-01
2.316947515535492386e-01 8.490224229179790805e-03 2.542678291451127670e+00 7.876190839225992946e+00 1.052409887568195868e-01
6.381727671579183081e+00 3.128206324011019446e-02 2.548491383695925983e+00 7.630401646593624854e+00 1.090907531708889266e-01
8.439849345002641279e-01 1.910987440064639193e-04 2.643717920671665667e+00 6.168040419642717431e+00 1.391311683947684119e-01
7.116930752925658688e+00 5.630188403022486077e-02 2.335593657997997230e+00 8.893448806852138233e+00 1.107753022385218472e-01
5.516226114633695232e+01 6.201500707080085384e-01 2.225933985652793545e+00 1.168976540952171916e+01 1.330107622454451688e-01
8.035605081206904643e-01 3.351251821661719102e-03 2.610845245453194963e+00 7.156242940569025102e+00 1.428362473273088740e-01
3.409307844686554745e+01 4.579509758753435578e-01 2.096951920529823710e+00 1.613993130861928904e+01 1.163283755791180291e-01
7.145121478943574633e-01 1.567338426818474725e-02 2.852976681329713493e+00 7.385595245832607958e+00 1.283789074965437371e-01
8.396592935569221483e-01 2.027139312791371214e-04 2.605328694439827064e+00 7.228968571340680604e+00 1.353156257217305036e-01
8.236341329980285675e-01 2.204009166715059642e-02 2.498026767762558720e+00 1.109048639682131565e+01 1.001708000347448640e-01
7.230945303243908029e+01 8.926867067936977707e-01 2.108999823144347641e+00 1.692287875532478125e+01 1.475945426302378571e-01
5.295998641754965375e-01 1.388846554800806862e-02 2.625464958587566233e+00 7.761796649064374165e+00 1.219532973970124112e-01
6.626112807885313760e-01 3.012742783890690404e-02 2.976919867252620922e+00 1.692423236536833997e+01 1.324068942089384193e-01
5.328999973191986955e-02 1.914763754374465554e-02 2.856101989992777312e+00 1.188278203805844058e+01 1.200640038005734156e-01
5.678600677995055968e-01 3.426393097998040038e-02 3.164703923143780351e+00 1.721577131004584871e+01 1.360244274991364577e-01
7.695514222314693564e-02 2.498456367040456649e-02 3.036473478449295271e+00 1.275438911322864044e+01 1.384055808261875076e-01
4.885749730357601822e-02 1.898790857630950485e-02 2.812104768401535004e+00 9.593712306961313274e+00 1.476740736524564113e-01
5.552072801023103743e+00 9.627489636870991199e-03 2.486195183444731338e+00 7.409282755971401180e+00 1.363328927252301925e-01
7.198419810336675884e-01 1.780442787358440387e-02 2.770655456935914529e+00 8.600025621574285850e+00 1.373183351804947994e-01
