norm alpha beta
3.253920278262829147e+00 2.542331573463211036e+00 4.455296102790820556e-01
3.533709531734122500e+00 2.645223799502260498e+00 6.246454400871087609e-01
3.051602006557358138e+00 2.560550189137177135e+00 4.026431893629761061e-01
3.607023145950063903e+00 2.490218294906649810e+00 4.215353219515624028e-01
2.913160971547468669e+00 2.763195133848110885e+00 5.696213030579657666e-01
2.323542547211322695e+00 2.532869884730160059e+00 1.633065531997022757e-01
3.438037905968482022e+00 2.410488285142521114e+00 3.657004314780447629e-01
2.816557102861991790e+00 2.622350200568904111e+00 3.392601911970708484e-01
3.054201453280153800e+00 2.736755293055677107e+00 4.345225889177078971e-01
2.951608977563251024e+00 2.749914836861965917e+00 5.740903897480515994e-01
3.404306512955689090e+00 2.597375970989199701e+00 4.302182128970798991e-01
2.951094437292248518e+00 2.680882243964322065e+00 4.416668338844262909e-01
2.798059752354421725e+00 2.600581483189531085e+00 3.630849401731425785e-01
2.856360001069737198e+00 2.711737065359089982e+00 4.329651378527871741e-01
2.747739048445496657e+00 2.652203892984432265e+00 4.014025070027933961e-01
2.836879588061589352e+00 2.730622697716973413e+00 5.060186713219881893e-01
3.140983703233438451e+00 2.636668258572829160e+00 5.066442495505026899e-01
2.444109010485751465e+00 2.574838783323654123e+00 2.792978078980941081e-01
2.300365985668332058e+00 2.569784828335182070e+00 1.480133335973475295e-01
3.351369285188157132e+00 2.594472050786418293e+00 5.059279516786892028e-01
3.257350916335658653e+00 2.596466413785793126e+00 4.415646758819542494e-01
2.886041543294833644e+00 2.733835706220717032e+00 5.365129593530250096e-01
3.355293852904628782e+00 2.518599347773596175e+00 2.800168227719540548e-01
2.848055569594631020e+00 2.416683963210425112e+00 1.272316713449190562e-01
2.443872513826500281e+00 2.646469108902734568e+00 3.283468480079528296e-01
3.753688258095419616e+00 2.528730614226880391e+00 4.797168827922111412e-01
3.266729475612696998e+00 2.520203396306145649e+00 4.883103265608239596e-01
2.940043934773352241e+00 2.647912828209663783e+00 4.758037032332814165e-01
3.334197171751743127e+00 2.537343093930164883e+00 2.913442010058907017e-01
2.506882640744969581e+00 2.586196045070949801e+00 4.056417285833129327e-01
2.703801496191232889e+00 2.604595135092653280e+00 3.581718876836536558e-01
2.357544763890125683e+00 2.641460188342448667e+00 2.616507777155215320e-01
