Mphi g si norm mntot
3.271591510739271769e+01 6.431980925683948858e-01 2.156031605616992586e+00 8.060454899593187506e+00 1.006354596940815666e-01
1.481796236703816660e+01 3.208367945886231865e-01 2.057541491351210006e+00 7.074522421149657347e+00 1.397324472438110643e-01
6.308613420108044600e+00 7.270589585295984814e-02 2.369021933991556139e+00 7.843985661614591542e+00 1.256636069469916350e-01
5.924100085219855316e+00 4.453502153837345101e-02 2.518689460786056600e+00 6.791022459048022597e+00 1.157607387744317151e-01
5.596553267759309058e+00 4.598268602844873126e-02 2.438364767392831034e+00 6.896234232523103636e+00 1.354519464300967535e-01
1.601840175314638848e-01 1.442841115681430149e-02 2.591466043378824580e+00 7.957494393318938819e+00 1.440851407390833228e-01
6.106621490512454953e-01 3.088082478401624545e-02 3.082800490873732979e+00 1.744056303817426112e+01 1.260743366345266070e-01
6.435308192691265861e-01 2.536555537758741416e-02 2.920241510856103506e+00 1.203188447007961415e+01 1.324048765698009056e-01
6.774318815775876024e-01 3.147109076889071516e-02 3.119365414038331785e+00 1.355753281970503465e+01 1.352224861859903926e-01
3.067727889102843039e-02 1.974333616476443495e-02 3.032742832119830645e+00 1.416527947375651486e+01 1.066179377586371213e-01
6.599152495097391657e+00 8.780323218328373036e-02 2.283550685439599714e+00 7.424072189453281290e+00 1.010237985448078635e-01
5.697850803442545686e-01 1.812922630178559827e-02 2.847526743604153587e+00 8.574423882400441954e+00 1.202719435501209688e-01
3.395195934377205305e+01 6.564302041750051941e-01 2.128496219390389577e+00 8.228152168174155179e+00 1.294222482924895501e-01
5.969122061414086744e+00 8.289637718313880299e-02 2.215146621022723306e+00 7.797760317174421196e+00 1.041844161595583684e-01
7.059371353581288133e+01 4.489820946244412088e-03 2.356831352602308804e+00 7.854990252312078702e+00 1.290904621655072360e-01
3.253038403715909771e-02 2.865489534193799495e-02 3.167373605689405291e+00 1.784706499527143464e+01 1.471256543052254229e-01
5.596138129798603700e+00 6.709691325887902347e-02 2.211436892224541761e+00 8.942728303067589479e+00 1.427035339848482243e-01
3.707715691732117735e-02 2.123723636689187413e-02 2.990249694269178526e+00 1.303706861883535240e+01 1.168567154124093010e-01
5.992430764271277077e+00 1.063848581352065253e-01 2.061400138837932161e+00 7.672778976890398006e+00 1.164721439597672381e-01
5.642134009809501860e-01 2.139290230546721933e-02 2.685649783100737764e+00 1.025566625200855775e+01 1.193210532339678692e-01
6.815283188787996771e+00 9.653342425407922256e-02 2.240604413575628673e+00 7.001360866004946892e+00 1.090305978483566418e-01
