,nu_e_CC,nu_e_NC,nu_e_GR,nu_mu_CC,nu_mu_NC,nu_mu_GR,nu_tau_CC,nu_tau_NC,nu_tau_GR
473151.2589614813,15.918085161217093,2.900397958566428,0.22932924929477785,11.909254223008439,2.82504016543686,0.0,14.642236417052306,3.2869411844826892,0.0
530884.4442309879,16.871684468395756,3.2713414798979374,0.18471181681023593,12.876957394814443,3.547881987047875,0.0,16.077587881507668,3.607555127465658,0.0
595662.1435290109,17.861883214486856,3.832070650289276,0.197294382508053,14.635865779789535,3.643499698198145,0.0,16.412019238061916,4.1100300092532205,0.0
668343.9175686149,18.070061036502853,3.907424504657379,0.3461696758008409,16.275400833984758,3.9226125902113504,0.0,18.21547447232388,4.237136084317305,0.0
749894.2093324559,19.068033693166647,4.183628607486287,0.36803517339143793,16.72834824358384,4.390154264711153,0.0,19.273065135749064,4.985107945468147,0.023479213881081287
841395.1416451965,19.42649264659479,4.3835891233312285,0.4763667256327343,18.271357852808187,4.489873527674496,0.0,20.35197677474319,5.380908645869336,0.0
944060.8762859226,21.67064929257435,5.146790173914955,0.5106125919922442,19.378373297389356,4.475759792326548,0.0,22.971985019639998,5.6287196628567076,0.0
1059253.7251772897,21.97482476525423,5.759787244346479,0.8023171699148542,21.234901927961253,5.595684045786949,0.0,22.88651005008405,6.943026393159972,0.0
1188502.2274370189,23.068842522812133,6.362143177914401,0.7011844286336273,22.14145160699951,5.944434389256493,0.0,25.375344983648265,6.412007132712027,0.0
1333521.432163324,24.721902700124435,5.667074336253413,1.0248261643890866,24.171276856527758,6.162380435760998,0.0,27.609823129406497,7.158872414654323,0.0
1496235.6560944358,25.4662954223818,7.4801653086038815,0.9154043983532052,24.425025234308563,6.81135202569793,0.0,27.279626159595843,8.028829865910222,0.0
1678804.018122559,28.09567425500014,7.516030174573648,1.198354496441346,26.650844492681465,7.7148363194282314,0.0,29.023044291187258,7.667260653464419,0.0
1883649.089489802,28.043117472958947,7.947696597741579,1.5282560001961585,27.175864854487347,7.615132282065297,0.0,32.64173132810476,8.934102050018526,0.0
2113489.0398366475,30.518723472092958,8.339098796876936,1.3509874155332278,29.363779612884578,7.806142752751939,0.0,33.73148146631449,9.567818117603023,0.0
2371373.7056616554,31.46189928194908,9.117210979963922,2.087872311679472,30.264267169961403,8.181698216867971,0.0,36.62013066155493,9.464079492890018,0.0
2660725.059798814,32.902694700828675,9.016230401029759,3.638526995935319,34.09355915884035,9.31070973203787,0.0,32.929860377530396,9.370374842671222,0.0
2985382.618917957,32.91886187566701,9.55798841855326,3.4060958596936834,33.89802761142944,9.417473879786826,0.0,37.79497226938669,11.067573296600166,0.0
3349654.3915782794,36.39117208999329,9.375750929921994,7.065408103788682,36.9387180634265,11.052088899807814,0.0,41.676664826352365,12.006841200771328,0.0
3758374.0428844434,35.803345091657015,11.931745098070298,9.170889921758835,37.88697397588181,11.763884276620526,0.0,42.747891669614965,12.366056091290961,0.0
4216965.034285823,37.26795278070351,12.780676602730278,14.617986757780981,39.75508148698701,11.505312257294207,0.0,43.498507022500796,13.291655176123097,0.0
4731512.589614812,39.79347750719178,10.735352142481098,27.0057918085835,42.14493164840832,11.688333833508619,0.0,44.95359234635278,16.117415791632325,0.8911652449852272
5308844.442309879,38.81700190894887,14.434918225788653,79.00642285305476,42.46534488921596,14.352510587032905,0.0,47.80596845220938,16.80510311484196,0.11200628130730488
5956621.435290109,38.97267436714269,26.646176226455964,818.224629905857,45.63152022732604,13.195845193562503,0.0,51.27125454146177,19.85596078140015,0.016473146770644376
6683439.175686163,41.181593141848545,12.048580617384404,891.8015149141534,44.876369015916865,15.852218923841335,0.0,58.985836548094895,17.31095557727586,0.0
7498942.093324558,44.77088076261868,18.067032030984528,77.63326674763931,48.16964005763958,16.878584621586878,0.0,55.48484826621326,18.45226597559892,0.0
8413951.416451965,47.51981276232489,13.839040178279227,27.099041487811274,48.31004401486012,16.345502667767267,0.0,62.177182874247535,18.485691076042077,0.0
